,Country Name,Country Code,2010,2011,2012,2013,2014,2015
69,Eritrea,ERI,63.787,64.402,64.838,65.067,65.6,66.033
70,Spain,ESP,81.62682927,82.47560976,82.42682927,83.07804878,83.22926829,82.83170732
71,Estonia,EST,75.42926829,76.22926829,76.32682927,77.14146341,77.03414634,77.5902439
72,Ethiopia,ETH,59.73,60.721,61.543,62.373,62.905,63.649
73,European Union,EUU,79.63003371,80.13874215,80.15765949,80.46479377,80.8719824,80.56843942
74,Fragile and conflict affected situations,FCS,59.30555888,59.96427091,60.16457552,60.46396375,60.70788786,61.01220582
75,Finland,FIN,79.87073171,80.47073171,80.62682927,80.97560976,81.1804878,81.4804878
76,Fiji,FJI,67.328,67.523,67.552,67.428,67.376,66.844
77,France,FRA,81.66341463,82.11463415,81.96829268,82.2195122,82.7195122,82.32195122
78,Faroe Islands,FRO,80.63658537,80.93902439,81.1902439,81.44146341,81.59268293,81.79268293
79,"Micronesia, Fed. Sts.",FSM,71.233,71.318,71.398,71.499,71.529,71.408
80,Gabon,GAB,63.898,64.045,64.587,64.776,64.974,65.46
81,United Kingdom,GBR,80.40243902,80.95121951,80.90487805,81.00487805,81.30487805,80.95609756
82,Georgia,GEO,72.128,72.39,72.412,72.628,73.099,73.297
83,Ghana,GHA,61.157,61.652,62.081,62.42,63.045,63.175
84,Gibraltar,GIB,80.958,81.871,83.366,80.55,81.882,80.427
85,Guinea,GIN,56.72,57.019,57.406,57.791,57.886,58.134
86,"Gambia, The",GMB,60.717,61.526,62.096,62.114,62.269,62.494
87,Guinea-Bissau,GNB,56.23,56.967,57.69,58.232,58.61,59.128
88,Equatorial Guinea,GNQ,57.878,58.412,58.865,59.224,59.595,60.103
89,Greece,GRC,80.38780488,80.73170732,80.63414634,81.28536585,81.38536585,81.03658537
90,Grenada,GRD,74.999,75.295,75.042,75.116,74.985,75.013
91,Greenland,GRL,70.29195122,69.82487805,70.55,71.57341463,71.98560976,71.97731707
92,Guatemala,GTM,70.878,71.177,71.463,71.728,71.964,72.103
93,Guam,GUM,76.879,76.872,76.707,76.72,76.749,76.616
94,Guyana,GUY,66.743,66.982,67.23,67.473,67.882,68.201
95,High income,HIC,79.76076263,80.03239216,80.15202374,80.343409,80.59891528,80.48403238
96,"Hong Kong SAR, China",HKG,82.97804878,83.42195122,83.4804878,83.83170732,83.9804878,84.27804878
97,Honduras,HND,71.088,71.439,71.734,71.963,72.259,72.487
98,Heavily indebted poor countries (HIPC),HPC,58.57768857,59.4752204,60.07801762,60.64456075,61.14707309,61.61254773
99,Croatia,HRV,76.47560976,76.77560976,76.92439024,77.12682927,77.47804878,77.27560976
100,Haiti,HTI,46.019,61.623,62.291,62.605,62.987,63.237
101,Hungary,HUN,74.20731707,74.85853659,75.06341463,75.56585366,75.76341463,75.56829268
102,IBRD only,IBD,71.45246504,71.79528258,72.14230944,72.49256617,72.85013704,73.15076692
103,IDA & IBRD total,IBT,68.90050432,69.26958407,69.5859186,69.91145335,70.23744921,70.52487096
104,IDA total,IDA,60.90685034,61.46284942,61.77733369,62.11037061,62.42243493,62.75489676
105,IDA blend,IDB,59.07897345,59.46176502,59.65257136,59.95962382,60.12791036,60.36020678
106,Indonesia,IDN,68.679,68.823,68.973,69.264,69.533,69.699
107,IDA only,IDX,61.82728355,62.47195236,62.84851462,63.19409576,63.57751275,63.95788921
108,Isle of Man,IMN,78.983,79.19,79.337,79.473,80.037,78.905
109,India,IND,66.909,67.359,67.887,68.46,69.074,69.636
110,Not classified,INX,,,,,,
111,Ireland,IRL,80.74390244,80.74634146,80.84634146,80.94878049,81.34878049,81.45365854
112,"Iran, Islamic Rep.",IRN,73.069,73.679,74.186,74.449,74.782,75.124
113,Iraq,IRQ,67.062,67.659,68.023,68.253,68.914,69.44
114,Iceland,ISL,81.89756098,82.35853659,82.91707317,82.06097561,82.86097561,82.46829268
115,Israel,ISR,81.60243902,81.65609756,81.70487805,82.05609756,82.15365854,82.05121951
116,Italy,ITA,82.03658537,82.18780488,82.23902439,82.6902439,83.0902439,82.54390244
117,Jamaica,JAM,72.622,73.094,73.433,73.412,72.982,72.394
118,Jordan,JOR,74.0,74.189,74.366,74.562,74.789,75.011
119,Japan,JPN,82.84268293,82.59121951,83.09609756,83.33195122,83.58780488,83.79390244
120,Kazakhstan,KAZ,68.45,68.69,69.52,70.62,71.44,71.97
121,Kenya,KEN,60.649,61.046,61.115,61.389,61.816,61.892
122,Kyrgyz Republic,KGZ,69.3,69.60243902,70.00243902,70.20243902,70.40243902,70.65121951
123,Cambodia,KHM,67.712,68.416,68.915,69.304,69.736,69.873
124,Kiribati,KIR,65.016,65.19,65.378,65.588,65.815,66.059
125,St. Kitts and Nevis,KNA,71.27,71.538,71.669,71.457,70.966,70.763
126,"Korea, Rep.",KOR,80.11707317,80.56829268,80.8195122,81.27073171,81.72195122,82.02439024
127,Kuwait,KWT,77.982,78.464,78.812,79.164,79.445,79.562
128,Latin America & Caribbean (excluding high income),LAC,73.17970894,73.69430632,73.93763446,74.19106394,74.42849192,74.47226527
129,Lao PDR,LAO,63.973,64.736,65.355,65.718,66.361,66.67
130,Lebanon,LBN,78.156,78.404,78.628,78.765,78.973,79.229
131,Liberia,LBR,59.433,59.62,59.913,59.943,59.121,59.148
132,Libya,LBY,72.374,70.071,72.247,72.34,71.511,71.698
133,St. Lucia,LCA,72.72,72.944,72.882,72.735,72.864,73.138
134,Latin America & Caribbean,LCN,73.38564296,73.87154444,74.0973427,74.34648539,74.5506477,74.61196958
135,Least developed countries: UN classification,LDC,60.96630398,61.68605925,62.2606485,62.70394668,63.12340036,63.49578313
136,Low income,LIC,59.72513945,60.30491201,60.55789986,60.92835208,61.31160576,61.69951841
137,Liechtenstein,LIE,81.84146341,81.79268293,82.38292683,82.26097561,82.07317073,82.65609756
138,Sri Lanka,LKA,73.215,73.38,73.906,74.239,74.651,74.927
139,Lower middle income,LMC,65.92285537,66.36867881,66.77189297,67.17213892,67.60360316,67.99316574
140,Low & middle income,LMY,68.79825464,69.16722924,69.49059668,69.81875565,70.14897307,70.44060366
141,Lesotho,LSO,45.596,46.692,47.835,49.002,50.033,51.101
142,Late-demographic dividend,LTE,74.61511298,74.9490628,75.22631079,75.5210169,75.79063086,76.01296843
143,Lithuania,LTU,73.26829268,73.56341463,73.86341463,73.91463415,74.51707317,74.32195122
144,Luxembourg,LUX,80.63170732,80.98780488,81.39268293,81.8,82.22926829,82.29268293
145,Latvia,LVA,73.48292683,73.57560976,73.77804878,73.98292683,74.12439024,74.4804878
146,"Macao SAR, China",MAC,83.109,83.229,83.326,83.727,83.883,83.984
147,St. Martin (French part),MAF,78.406,78.827,79.022,78.908,79.966,79.309
148,Morocco,MAR,70.829,71.269,71.679,72.122,72.538,72.92
149,Monaco,MCO,,,,,,
150,Moldova,MDA,69.357,69.192,69.143,69.099,69.031,69.24
151,Madagascar,MDG,62.873,63.494,63.544,63.962,64.255,64.339
152,Maldives,MDV,77.657,78.124,78.682,79.057,79.424,79.695
153,Middle East & North Africa,MEA,72.10638332,72.37228523,72.28467802,72.34424267,72.62386339,72.88951608
