,Country,Code,Year,Life Expectancy,Consumption of Alcohol
119,Equatorial Guinea,GNQ,2015,60.103,9.08
120,Greece,GRC,2010,80.38780488,9.67
121,Greece,GRC,2015,81.03658537,10.49
122,Grenada,GRD,2010,74.999,8.31
123,Grenada,GRD,2015,75.013,9.07
124,Guatemala,GTM,2010,70.878,3.51
125,Guatemala,GTM,2015,72.103,2.55
126,Guyana,GUY,2010,66.743,6.78
127,Guyana,GUY,2015,68.201,7.35
128,Honduras,HND,2010,71.088,3.59
129,Honduras,HND,2015,72.487,3.49
130,Croatia,HRV,2010,76.47560976,10.08
131,Croatia,HRV,2015,77.27560976,9.07
132,Haiti,HTI,2010,46.019,2.99
133,Haiti,HTI,2015,63.237,2.69
134,Hungary,HUN,2010,74.20731707,12.09
135,Hungary,HUN,2015,75.56829268,11.6
136,Indonesia,IDN,2010,68.679,0.59
137,Indonesia,IDN,2015,69.699,0.6
138,India,IND,2010,66.909,4.35
139,India,IND,2015,69.636,5.54
140,Ireland,IRL,2010,80.74390244,12.07
141,Ireland,IRL,2015,81.45365854,12.47
142,Iran,IRN,2010,73.069,1.01
143,Iran,IRN,2015,75.124,1.01
144,Iraq,IRQ,2010,67.062,0.49
145,Iraq,IRQ,2015,69.44,0.37
146,Iceland,ISL,2010,81.89756098,7.5
147,Iceland,ISL,2015,82.46829268,8.74
148,Israel,ISR,2010,81.60243902,3.12
149,Israel,ISR,2015,82.05121951,3.86
150,Italy,ITA,2010,82.03658537,7.34
151,Italy,ITA,2015,82.54390244,7.59
152,Jamaica,JAM,2010,72.622,4.38
153,Jamaica,JAM,2015,72.394,4.19
154,Jordan,JOR,2010,74.0,0.64
155,Jordan,JOR,2015,75.011,0.69
156,Japan,JPN,2010,82.84268293,7.2
157,Japan,JPN,2015,83.79390244,7.87
158,Kazakhstan,KAZ,2010,68.45,4.97
159,Kazakhstan,KAZ,2015,71.97,4.66
160,Kenya,KEN,2010,60.649,3.29
161,Kenya,KEN,2015,61.892,2.77
162,Cambodia,KHM,2010,67.712,4.91
163,Cambodia,KHM,2015,69.873,6.37
164,Kiribati,KIR,2010,65.016,1.65
165,Kiribati,KIR,2015,66.059,0.52
166,Kuwait,KWT,2010,77.982,0.032
167,Kuwait,KWT,2015,79.562,0.003
168,Lebanon,LBN,2010,78.156,1.94
169,Lebanon,LBN,2015,79.229,1.65
170,Liberia,LBR,2010,59.433,5.37
171,Liberia,LBR,2015,59.148,5.7
172,Libya,LBY,2010,72.374,0.098
173,Libya,LBY,2015,71.698,0.029
174,Sri Lanka,LKA,2010,73.215,3.92
175,Sri Lanka,LKA,2015,74.927,4.1
176,Lesotho,LSO,2010,45.596,6.5
177,Lesotho,LSO,2015,51.101,4.8
178,Lithuania,LTU,2010,73.26829268,15.25
179,Lithuania,LTU,2015,74.32195122,15.38
180,Luxembourg,LUX,2010,80.63170732,12.98
181,Luxembourg,LUX,2015,82.29268293,13.18
182,Latvia,LVA,2010,73.48292683,11.63
183,Latvia,LVA,2015,74.4804878,12.64
184,Morocco,MAR,2010,70.829,0.9
185,Morocco,MAR,2015,72.92,0.7
186,Mongolia,MNG,2010,67.07,9.65
187,Mongolia,MNG,2015,68.9,10.97
188,Moldova,MDA,2010,62.873,15.54
189,Moldova,MDA,2015,64.339,11.87
190,Madagascar,MDG,2010,77.657,1.87
191,Madagascar,MDG,2015,79.695,1.88
192,Maldives,MDV,2010,72.10638332,1.65
193,Maldives,MDV,2015,72.88951608,2.07
194,Mexico,MEX,2010,74.19,5.21
195,Mexico,MEX,2015,74.682,4.92
196,North Macedonia,MKD,2010,74.99756098,5.93
